Date_Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),T
2004-03-10 18:00:00,2.6,1360.0,150.0,11.9,1046.0,13.6
2004-03-10 19:00:00,2.0,1292.0,112.0,9.4,955.0,13.3
2004-03-10 20:00:00,2.2,1402.0,88.0,9.0,939.0,11.9
2004-03-10 21:00:00,2.2,1376.0,80.0,9.2,948.0,11.0
2004-03-10 22:00:00,1.6,1272.0,51.0,6.5,836.0,11.2
2004-03-10 23:00:00,1.2,1197.0,38.0,4.7,750.0,11.2
2004-03-11 00:00:00,1.2,1185.0,31.0,3.6,690.0,11.3
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,10.7
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,10.7
2004-03-11 03:00:00,0.6,1010.0,19.0,1.7,561.0,10.3
2004-03-11 05:00:00,0.7,1066.0,8.0,1.1,512.0,11.0
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,10.5
2004-03-11 07:00:00,1.1,1144.0,29.0,3.2,667.0,10.2
2004-03-11 08:00:00,2.0,1333.0,64.0,8.0,900.0,10.8
2004-03-11 09:00:00,2.2,1351.0,87.0,9.5,960.0,10.5
2004-03-11 10:00:00,1.7,1233.0,77.0,6.3,827.0,10.8
2004-03-11 11:00:00,1.5,1179.0,43.0,5.0,762.0,10.5
2004-03-11 12:00:00,1.6,1236.0,61.0,5.2,774.0,9.5
2004-03-11 13:00:00,1.9,1286.0,63.0,7.3,869.0,8.3
2004-03-11 14:00:00,2.9,1371.0,164.0,11.5,1034.0,8.0
2004-03-11 15:00:00,2.2,1310.0,79.0,8.8,933.0,8.3
2004-03-11 16:00:00,2.2,1292.0,95.0,8.3,912.0,9.7
2004-03-11 17:00:00,2.9,1383.0,150.0,11.2,1020.0,9.8
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,10.3
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,9.7
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,9.6
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,9.1
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,8.2
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,8.2
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,8.3
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,7.7
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,7.1
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,7.0
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,6.3
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,6.8
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,6.4
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,7.3
2004-03-12 10:00:00,3.1,1350.0,208.0,14.0,1118.0,13.2
2004-03-12 11:00:00,2.7,1263.0,166.0,11.6,1037.0,14.3
2004-03-12 12:00:00,2.1,1206.0,114.0,10.2,986.0,15.0
2004-03-12 13:00:00,2.5,1252.0,140.0,11.0,1016.0,16.1
2004-03-12 14:00:00,2.7,1287.0,169.0,12.8,1078.0,16.3
2004-03-12 15:00:00,2.9,1353.0,185.0,14.2,1122.0,15.8
2004-03-12 16:00:00,2.8,1309.0,165.0,12.7,1073.0,15.9
2004-03-12 17:00:00,2.4,1274.0,133.0,11.7,1041.0,16.9
2004-03-12 18:00:00,3.9,1510.0,233.0,19.3,1277.0,15.1
2004-03-12 19:00:00,3.7,1525.0,242.0,18.2,1246.0,14.4
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,12.9
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,12.1
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,11.0
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,9.7
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,9.5
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,9.1
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,8.8
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,7.8
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,8.3
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,7.2
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,6.3
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,6.5
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,9.6
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,12.4
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,15.6
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,18.4
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,19.4
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,18.0
2004-03-13 15:00:00,2.0,1240.0,108.0,9.2,947.0,18.4
2004-03-13 16:00:00,2.5,1306.0,111.0,10.2,987.0,17.6
2004-03-13 17:00:00,2.3,1326.0,97.0,10.6,1000.0,16.7
2004-03-13 18:00:00,3.2,1473.0,191.0,15.5,1163.0,16.1
2004-03-13 19:00:00,4.2,1609.0,258.0,19.6,1286.0,15.8
2004-03-13 20:00:00,4.2,1611.0,284.0,19.2,1274.0,15.7
2004-03-13 21:00:00,4.2,1621.0,269.0,18.3,1247.0,15.3
2004-03-13 22:00:00,3.1,1444.0,180.0,13.1,1089.0,14.6
2004-03-13 23:00:00,2.6,1418.0,116.0,10.9,1010.0,14.7
2004-03-14 00:00:00,2.9,1534.0,93.0,11.0,1013.0,13.9
2004-03-14 01:00:00,2.8,1484.0,131.0,11.9,1045.0,14.6
2004-03-14 02:00:00,2.5,1367.0,92.0,8.6,925.0,12.5
2004-03-14 03:00:00,2.4,1344.0,132.0,9.7,968.0,11.6
2004-03-14 05:00:00,1.2,1062.0,32.0,3.7,691.0,11.5
2004-03-14 06:00:00,1.0,1076.0,29.0,2.5,618.0,11.6
2004-03-14 07:00:00,0.9,1028.0,27.0,2.4,615.0,10.4
2004-03-14 08:00:00,1.4,1155.0,36.0,4.2,722.0,11.6
2004-03-14 09:00:00,1.6,1235.0,57.0,6.4,828.0,12.4
2004-03-14 10:00:00,2.2,1332.0,129.0,8.6,923.0,14.5
2004-03-14 11:00:00,2.8,1445.0,148.0,10.9,1009.0,16.9
2004-03-14 12:00:00,2.8,1416.0,145.0,10.7,1002.0,19.3
2004-03-14 13:00:00,2.0,1281.0,93.0,7.5,880.0,21.2
2004-03-14 14:00:00,1.8,1207.0,84.0,7.5,879.0,21.4
2004-03-14 15:00:00,1.9,1258.0,99.0,8.2,906.0,21.9
2004-03-14 16:00:00,3.0,1458.0,150.0,11.9,1045.0,22.2
2004-03-14 17:00:00,2.9,1438.0,156.0,12.0,1051.0,21.3
2004-03-14 18:00:00,2.5,1478.0,122.0,12.2,1055.0,19.7
2004-03-14 19:00:00,4.6,1808.0,262.0,20.6,1312.0,18.4
2004-03-14 20:00:00,5.9,1898.0,341.0,23.1,1381.0,17.6
2004-03-14 21:00:00,3.4,1560.0,214.0,14.7,1140.0,16.7
2004-03-14 22:00:00,2.1,1324.0,100.0,9.0,940.0,16.3
2004-03-14 23:00:00,2.2,1349.0,79.0,8.8,933.0,14.7
2004-03-15 00:00:00,1.8,1239.0,66.0,7.4,872.0,14.8
2004-03-15 01:00:00,1.8,1239.0,73.0,6.9,853.0,14.0
2004-03-15 02:00:00,1.8,1224.0,66.0,7.0,855.0,13.4
